scenario,effort,names
long_distance,2166.77804,video3
dodge,439.5721899,video7
bystander,0,video12
stays_put,228.7522595,video4
short_distance,857.7262558,video1
med_push,3308.212057,video9
long_push,4199.055699,video10
push_patient,708.0210806,video11
double_push,3865.52137,video8
harm_moving_moving,1106.484615,harm_moving_moving
harm_moving_static,1004.611984,harm_moving_static
harm_static_moving,882.9609305,harm_static_moving
harm_static_static,2531.757576,harm_static_static
victim_moving_moving,1106.484615,victim_moving_moving
victim_moving_static,1004.611984,victim_moving_static
victim_static_moving,882.9609305,victim_static_moving
victim_static_static,2531.757576,victim_static_static
